gene,interaction_type,score,drug_name
AGT,NULL,0.138909183,HYDROCORTISONE BUTYRATE
BGLAP,NULL,0.081092929,DACTINOMYCIN
BDNF,agonist,0.060984519,LEVONORGESTREL
CYP1A2,NULL,0.011068227,2-CHLORO-5-NITRO-N-PHENYLBENZAMIDE
AR,NULL,0.001461795,AZACITIDINE
CCR6,NULL,0.564598615,CHEMBL:CHEMBL592124
KRAS,NULL,0.014024485,METFORMIN
CYP1A2,NULL,0.08854582,QUAZINONE
HLA-DQB1,NULL,0.134635054,ACETAMINOPHEN
AR,NULL,0.019490598,STANOLONE
GABRG3,positive modulator,0.017444409,PRIMIDONE
EGFR,inhibitor,0.694545916,NECITUMUMAB
HDAC6,inhibitor,0.17444409,CUDC-101
ALDH2,inhibitor,0.071341945,ZOTEPINE
SLC25A6,modulator,1.071585127,CDPPB
CYP3A4,NULL,0.029366707,TIPRANAVIR
GHSR,agonist,1.944728564,MACIMORELIN
BRAF,inhibitor,0.137454637,LXH254
BRAF,NULL,0.901091508,CETUXIMAB
BCL2,NULL,0.064033745,4-PHENYLBUTYRIC ACID
EGFR,antibody,0.694545916,NECITUMUMAB
IDH1,NULL,0.011670965,PERHEXILINE MALEATE
GLS,NULL,0.246514888,DICLOXACILLIN
FGFR3,NULL,0.005366139,NVP-TAE684
ME3,NULL,0.426891636,THERAPEUTIC CORTICOSTEROID
HRH1,inverse agonist,0.141149654,EBASTINE
TUBA1A,inhibitor,0.039538909,PF-06263507
TUBB2B,inhibitor,0.040021091,GLEMBATUMUMAB VEDOTIN
BTD,blocker,0.181687444,AMILORIDE
GALR2,agonist,0.437563927,GALP(3-32) (HUMAN)
DRD5P2,inhibitor,1.250182648,GNF-5837
APOA4,agonist,5.250767124,PRRP-(24-31) (HUMAN)
PSORS1C3,NULL,0.714390085,CARBAMAZEPINE
BAZ2B,NULL,0.004149492,OMEPRAZOLE
CAMK1,NULL,0.625091324,LAUROGUADINE
POLB,NULL,0.015268296,CHEMBL:CHEMBL67535
MAPK9,NULL,0.05293112,SB220025
CYP2C9,NULL,0.040515178,ICILIN
POLH,NULL,0.016959842,PYRONIN Y
IFNA2,NULL,0.164086473,PEGINTERFERON ALFA-2B
NR1H4,NULL,1.521961485,CHEMBL:CHEMBL269105
KRAS,NULL,0.273477454,THERAPEUTIC TUMOR INFILTRATING LYMPHOCYTES
HSD17B10,NULL,0.005778964,CAPSAZEPINE
ABCC4,NULL,0.133720725,AZATHIOPRINE
GRIN2C,NULL,0.094099769,INDANTADOL
WRN,NULL,0.019304291,MITOXANTRONE HYDROCHLORIDE
SERPINA3,agonist,0.061412481,5-HYDROXYTRYPTAMINE
DPYS,inhibitor,0.091159151,PACRITINIB
CD24P1,inhibitor,0.820432363,(R)-NFPS
EPHA8,inhibitor,1.009762908,COMPOUND 7 [PMID: 22464456]
PDGFRA,inhibitor,0.286927165,RAMUCIRUMAB
THPO,NULL,0.059297201,ALPROSTADIL
HSD17B10,NULL,0.006691433,INAMRINONE
CHRM3,inhibitor,0.354781562,TRIDIHEXETHYL CHLORIDE
OPRM1,agonist,0.111166559,HYDROMORPHONE HYDROCHLORIDE
CD70,NULL,8.078103267,ANTI-CD70 ANTIBODY-DRUG CONJUGATE MDX-1203
NBEA,NULL,1.346350545,METFORMIN
FLT4,NULL,0.024756092,DOVITINIB
SLC15A1,NULL,3.500511416,ACYCLOVIR
MET,inhibitor,3.500511416,TIVANTINIB
HPGD,NULL,0.021172448,GOSSYPETIN
FEN1,NULL,0.024885152,ATHRAQUINONES A
CBX1,NULL,0.010742159,AMIODARONE HYDROCHLORIDE
ADRA1A,NULL,0.182318303,LISDEXAMFETAMINE DIMESYLATE
FMO5,inhibitor,0.795570776,JNJ-67569762
A12M3,inhibitor,0.026045472,ZOTEPINE
MAPK14,NULL,0.023295329,RESVERATROL
GNAI2,inhibitor,0.19739726,NIRAPARIB
RPL29,inhibitor,0.110542466,CYCLOHEXIMIDE
TUBB,inhibitor,0.033487035,BIVATUZUMAB MERTANSINE
CYP1A2,NULL,0.022136455,BETA-CCM
CYP1A2,NULL,0.00655895,ZIDOVUDINE
MELK,NULL,0.025993897,DOVITINIB
ATP1A1,NULL,0.700102283,ARTEMETHER
PPARA,NULL,0.198892694,BROMOXYNIL
BTC,NULL,0.328172945,PANITUMUMAB
POLK,NULL,0.002286123,CARBOPLATIN
SLC5A1,NULL,0.456588446,STREPTOZOCIN
DRD2,NULL,0.039531467,ILOPERIDONE
IDH1,NULL,0.004426918,THIORIDAZINE
ALDH5A1,inhibitor,0.657990868,VALPROIC ACID
KCNT2,blocker,0.875127854,BA2+
BDKRB2,NULL,1.093909817,BRADYKININ
ITGB5,NULL,2.187819635,INTEGRIN RECEPTOR ANTAGONIST GLPG0187
ABCB1,NULL,0.023620185,NIMODIPINE
MPHOSPH8,NULL,0.034229251,CEPHAPIRIN SODIUM
GGT1,NULL,0.432161903,MESTRANOL
EIF4EP1,inhibitor,0.035430277,SORAFENIB
GRK3,agonist,4.37563927,PAMP-20
AANAT,agonist,0.119335616,NNC 11-1585
VDR,NULL,0.00337822,CURCUMIN
PTGS1,NULL,0.328172945,ETODOLAC
MPL,NULL,2.045753425,AVATROMBOPAG
POLH,NULL,0.025439763,CHEMBL:CHEMBL81782
RGS4,NULL,0.102956218,AC55649
AQP8,NULL,0.128067491,ETHINYL ESTRADIOL
HPGD,NULL,0.00962384,CATECHOL
ATAD5,NULL,0.016181101,CHEMBL:CHEMBL578944
BRCA1,NULL,0.558592247,GAMMA-FAGARINE
CD248,NULL,157.5230137,ONTUXIZUMAB
ALK,inhibitor,2.212697851,CRIZOTINIB
PPARA,NULL,0.227305936,CIGLITAZONE
ADORA2A,NULL,0.153419054,CAFFEINE
AKT1,NULL,1.479089331,CHEMBL:CHEMBL480356
HTR2A,NULL,0.024041974,LITHIUM
FAAH,NULL,10.50153425,PF-04457845
CYP1A2,NULL,0.003162351,NIFEDIPINE
NFKB1,NULL,0.012853775,DISULFIRAM
CHRM3,NULL,0.532172344,OCTOTROPINE METHYLBROMIDE
KIT,inhibitor,0.043629141,PAZOPANIB
HTR3A,inhibitor,0.318228311,TEDATIOXETINE
ACTBP2,agonist,0.486182141,CCL2
ALOX12P2,agonist,0.603536451,J20 (GALANIN ANALOGUE)
SLC29A1,inhibitor,0.29665351,CDK/CRK INHIBITOR
GPC4,inhibitor,4.37563927,COMPOUND 31 [PMID: 22902653]
FGFR2,NULL,1.017590528,TASURGRATINIB
KIT,NULL,0.037957353,TRAMETINIB DIMETHYL SULFOXIDE
CETP,NULL,0.336587636,ROSUVASTATIN
EFR3A,NULL,1.500219178,CLOPIDOGREL
AR,NULL,0.029235897,FLUFENACET
PLG,NULL,0.043109746,GENISTEIN
CD47,NULL,6.563458904,ANTI-CD47 MONOCLONAL ANTIBODY CC-90002
ARR3,agonist,0.307062405,[3H]MUSCIMOL
NUDT2,agonist,0.345445205,ENADOLINE
EPS15,inhibitor,0.729273212,XILIERTINIB
XIAP,agonist,0.833455099,[ILE5]PTHRP-(1-36) (HUMAN)
ADH1C,NULL,0.137274957,NALTREXONE
APEX1,NULL,0.011993529,RHEIN
TP53,NULL,0.004189553,DOCETAXEL ANHYDROUS
APP,vaccine,0.807810327,AMILOMOTIDE
HDAC8,NULL,0.192335792,ROMIDEPSIN
ABAT,agonist,0.067059606,NECA
DXO,inhibitor,0.035719504,NERATINIB
CYP1A2,NULL,0.017709164,BRILLIANT GREEN OXALATE
IDH1,NULL,0.00414131,CHEMBL:CHEMBL592124
P2RX3,inhibitor,26.25383562,GEFAPIXANT
IFNA8,inhibitor,1.750255708,SIFALIMUMAB
ATP4A,blocker,0.486182141,TEGOPRAZAN
KDR,inhibitor,0.070129236,PAZOPANIB
PTH1R,agonist,3.750547945,TERIPARATIDE ACETATE
PGR,agonist,0.57385433,NORELGESTROMIN
TUBA3C,inhibitor,0.040021091,PF-06263507
BAZ2B,NULL,0.013957382,ISOKAEMPFERIDE
EHMT2,NULL,0.030634581,PROPYLENE GLYCOL MONOSTEARATE
IL4R,NULL,8.751278539,DUPILUMAB
AHRR,NULL,0.468818493,METHOTREXATE
RPL3,inhibitor,0.110542466,CYCLOHEXIMIDE
ACAT2,agonist,1.458546423,"[D-TYR6,&BETA;-ALA11,N-ME-ALA13,NLE14]BOMBESIN-(6-14)"
FRV1,inhibitor,8.751278539,SKI II
BCHEL1,inhibitor,1.166837139,AGN193109
ALK,NULL,0.036527076,TRAMETINIB DIMETHYL SULFOXIDE
TP53,NULL,0.057955487,BOMEDEMSTAT
MPHOSPH8,NULL,0.020226376,CAPSAZEPINE
ME3,NULL,0.12413161,ASPIRIN
MPI,NULL,0.596678082,CHEMBL:CHEMBL1412489
MAPT,NULL,0.119065014,CHEMBL:CHEMBL314639
GSR,other/unknown,1.193356164,OXIGLUTATIONE
NTRK3,inhibitor,0.244221727,ALTIRATINIB
MET,inhibitor,0.500073059,TEPOTINIB HYDROCHLORIDE
ABCC8,NULL,1.750255708,MITIGLINIDE
NAT1,agonist,1.458546423,PF-04995274
ENG,inhibitor,8.751278539,DS21360717
GNRHR,agonist,0.795570776,[GLN8]GNRH
ERCC8,inhibitor,1.093909817,TRYPTOPHAN
MS4A2,inhibitor,0.218781963,COMPOUND 19A [PMID: 30503936]
AQP2,agonist,0.558592247,BIM 23060
FLT4,inhibitor,0.140326624,SUNITINIB
HPGD,NULL,0.070574827,TOLMETIN SODIUM
KCNH2,NULL,0.149594505,CHEMBL:CHEMBL602940
PTGDR,NULL,2.625383562,VIDUPIPRANT
YES1,NULL,0.019418517,SARACATINIB
CACNA1C,NULL,0.26286694,FELODIPINE
TP53,NULL,0.011591097,CHEMBL:CHEMBL242171
DRD3,inhibitor,0.150021918,CHLORPROTHIXENE
CACNA1F,modulator,0.048083948,ATAGABALIN
HAMP,inhibitor,26.25383562,LY-2787106
CETP,NULL,6.05857745,ANACETRAPIB
AURKB,NULL,0.064413418,TOZASERTIB
ADRA1B,NULL,0.190245186,BETHANIDINE
NR2F2,NULL,2.187819635,PYRIDABEN
MAPT,NULL,0.059532507,CHEMBL:CHEMBL579105
EGFR,NULL,0.025256215,DURVALUMAB
MPHOSPH8,NULL,0.044498026,CHEMBL:CHEMBL80155
TOP2A,NULL,0.905304676,CHEMBL:CHEMBL244268
CYP1A2,NULL,0.014757637,CHEMBL:CHEMBL581929
BACE1,NULL,0.673175272,RO5508887
APEX1,NULL,0.010554306,DEPHOSTATIN
ABCB1,NULL,0.016027983,HYDROCORTISONE BUTYRATE
FGFR2,NULL,0.317488245,PONATINIB
RNF130,inhibitor,7.501095891,PORGAVIXIMAB
NTRK1,NULL,0.095904422,ANTIESTROGEN
ADRA2B,NULL,0.267896282,DEBRISOQUIN
BCHE,NULL,1.312691781,ECHOTHIOPHATE IODIDE
SMAD3,NULL,0.007396488,CHEMBL:CHEMBL592124
TUBB6,NULL,0.080042182,CHEMBL:CHEMBL2036119
CYSLTR1,NULL,4.773424658,CINALUKAST
NFE2L2,NULL,0.004842988,CHEMBL:CHEMBL1079460
CDK9,inhibitor,0.486182141,DINACICLIB
CDK4,inhibitor,0.307062405,ABEMACICLIB
ABL1,NULL,0.017170592,CABOZANTINIB S-MALATE
BRAF,NULL,0.52232762,PLX-4720
EZH2,NULL,2.917092846,TAZEMETOSTAT
FGFR3,NULL,0.057841988,BORTEZOMIB
ALDH1A1,NULL,0.014749346,"3,5-DIIODO-L-TYROSINE"
FLT3,NULL,0.179119736,SORAFENIB
KCNJ5,NULL,0.129648571,VERAPAMIL
KRAS,NULL,0.017643707,LAPATINIB
FLT3,NULL,0.185212244,VENETOCLAX
CA1,inhibitor,2.100306849,DICHLORPHENAMIDE
L3MBTL1,NULL,0.238671233,CHEMBL:CHEMBL316589
TP53,NULL,0.016558711,PRAMLINTIDE
CHRM3,inhibitor,0.125217022,ATROPINE
ACE,inhibitor,0.711968424,TRANDOLAPRIL
PLG,activator,2.500365297,RETEPLASE
CHRM1,inhibitor,0.558592247,CLIDINIUM
SLC12A3,inhibitor,2.917092846,METOLAZONE
ADRB1,inhibitor,0.298339041,OXPRENOLOL HYDROCHLORIDE
SLC6A4,inhibitor,1.193356164,FLUVOXAMINE MALEATE
PPARA,agonist,0.795570776,CHOLINE FENOFIBRATE
SLC6A2,inhibitor,0.24536295,PHENMETRAZINE HYDROCHLORIDE
CA12,inhibitor,0.750109589,DICHLORPHENAMIDE
CA4,inhibitor,1.750255708,DICHLORPHENAMIDE
TRPM8,potentiator,4.836232877,RACEMENTHOL
PTGER3,agonist,2.187819635,MISOPROSTOL
MMP13,inhibitor,1.640864726,DOXYCYCLINE CALCIUM
MMP8,inhibitor,1.875273973,DOXYCYCLINE CALCIUM
EDNRA,inhibitor,2.282942228,BOSENTAN ANHYDROUS
CHRNB2,agonist,0.317075309,NICOTINE POLACRILEX
SLC22A11,inhibitor,4.773424658,PROBENECID
OPRD1,agonist,0.388945713,NALBUPHINE HYDROCHLORIDE
TUBB4B,inhibitor,0.035145697,BRENTUXIMAB VEDOTIN
TUBB8,inhibitor,0.035574303,BRENTUXIMAB VEDOTIN
TUBB1,inhibitor,0.032412143,BRENTUXIMAB VEDOTIN
TUBA1A,inhibitor,0.007621958,DOCETAXEL ANHYDROUS
GRIN2B,inhibitor,0.032055965,ORPHENADRINE CITRATE
GRIN2D,inhibitor,0.092606122,ORPHENADRINE CITRATE
GRIN3B,inhibitor,0.096167896,ORPHENADRINE CITRATE
GRIN2A,inhibitor,0.036237178,ORPHENADRINE CITRATE
ADRA2B,agonist,0.085239726,LEVONORDEFRIN
ADORA2A,inhibitor,0.153419054,CAFFEINE
ADORA3,inhibitor,0.074690855,CAFFEINE
ADORA2A,agonist,0.094608417,ADENOSINE
HTR4,agonist,0.224391757,TEGASEROD MALEATE
PSMA4,inhibitor,0.500073059,CARFILZOMIB
PSMD3,inhibitor,0.700102283,CARFILZOMIB
PSMD7,inhibitor,0.583418569,CARFILZOMIB
ADRM1,inhibitor,0.525076712,CARFILZOMIB
PSMD6,inhibitor,0.700102283,CARFILZOMIB
CHRNA1,inhibitor,0.227305936,GALLAMINE TRIETHIODIDE
CHRNA1,inhibitor,0.416727549,ROCURONIUM BROMIDE
CHRND,inhibitor,0.750109589,TUBOCURARINE CHLORIDE
SLC6A4,inhibitor,0.049723174,METHAMPHETAMINE
ATP1A2,inhibitor,0.750109589,DESLANOSIDE
ATP1A4,inhibitor,0.077217164,DIGOXIN
ATP1B1,inhibitor,0.081281225,DIGOXIN
ATP1A4,inhibitor,0.262538356,DESLANOSIDE
FXYD2,inhibitor,0.437563927,DESLANOSIDE
ATP1B2,inhibitor,0.257390545,DIGOXIN
GABRG3,positive modulator,0.033919684,ESZOPICLONE
GABRA1,positive modulator,0.045226246,ESZOPICLONE
GABRQ,positive modulator,0.039420174,ESZOPICLONE
GABRA2,positive modulator,0.064111931,ESZOPICLONE
GABRG1,positive modulator,0.037398626,ESZOPICLONE
GABRE,positive modulator,0.037398626,ESZOPICLONE
GABRG2,positive modulator,0.085239726,CLOBAZAM
GABRA6,positive modulator,0.034727296,ESZOPICLONE
GABRB1,positive modulator,0.087318744,CLOBAZAM
GABRD,positive modulator,0.019483366,PRIMIDONE
GABRA5,positive modulator,0.016574391,HALOTHANE
GABRA1,positive modulator,0.025439763,TRICLOFOS SODIUM
GABRG3,positive modulator,0.013876234,TOPIRAMATE
GABRA4,positive modulator,0.014553124,TOPIRAMATE
GABRB3,positive modulator,0.014732792,TOPIRAMATE
GABRG2,positive modulator,0.039068208,TRICLOFOS SODIUM
CACNG1,blocker,0.126220364,BEPRIDIL HYDROCHLORIDE
CACNG5,blocker,0.224391757,BEPRIDIL HYDROCHLORIDE
CACNA1D,blocker,0.046965717,BEPRIDIL HYDROCHLORIDE
CACNG4,blocker,0.224391757,BEPRIDIL HYDROCHLORIDE
SCN7A,blocker,0.040051618,RILUZOLE
SCN3A,blocker,0.054695491,PHENAZOPYRIDINE HYDROCHLORIDE
SCN4A,blocker,0.080781033,QUINIDINE GLUCONATE
SCN11A,blocker,0.07699072,PRILOCAINE
SCN7A,blocker,0.083744292,PRILOCAINE
SCN2A,blocker,0.08334551,MERETHOXYLLINE PROCAINE
SCN11A,blocker,0.01924768,TOPIRAMATE
SCN4A,blocker,0.080781033,MERETHOXYLLINE PROCAINE
DRD4,inhibitor,0.123547462,OLANZAPINE PAMOATE
DRD2,inhibitor,0.041508041,OLANZAPINE PAMOATE
DRD3,inhibitor,0.100014612,LOXAPINE HYDROCHLORIDE
KCNA10,blocker,0.182318303,DALFAMPRIDINE
KCNH5,blocker,0.182318303,DALFAMPRIDINE
KCNC4,blocker,0.182318303,DALFAMPRIDINE
KCNA7,blocker,0.182318303,DALFAMPRIDINE
KCNS1,blocker,0.182318303,DALFAMPRIDINE
KCNS2,blocker,0.182318303,DALFAMPRIDINE
KCNQ3,blocker,0.091476779,GUANIDINE HYDROCHLORIDE
RARG,agonist,0.193042909,ISOTRETINOIN
DRD2,modulator,0.103770101,CARIPRAZINE HYDROCHLORIDE
SSTR3,agonist,1.458546423,PASIREOTIDE PAMOATE
MET,inhibitor,0.500073059,BMS-698769
HDAC7,inhibitor,0.202732321,CUDC-101
ERBB2,inhibitor,0.09869863,CUDC-101
HDAC2,inhibitor,0.178597521,CUDC-101
HDAC4,inhibitor,0.163067302,CUDC-101
TEK,inhibitor,0.65634589,ALTIRATINIB
MAP3K5,inhibitor,26.25383562,SELONSERTIB
MET,inhibitor,0.100014612,ALTIRATINIB
PIK3R1,inhibitor,0.201952582,OMIPALISIB
AURKC,inhibitor,2.800409133,GSK1070916
MTOR,inhibitor,0.739544665,DS-3078A
PIK3CB,inhibitor,0.052090944,GSK-1059615
AURKB,inhibitor,0.626957268,GSK1070916
PIK3R2,inhibitor,0.168293818,GSK-1059615
PIK3CA,inhibitor,0.030386384,RECILISIB
PIK3CG,inhibitor,0.050488145,RECILISIB
PIK3R1,inhibitor,0.122395504,VS-5584
PIK3R3,inhibitor,0.136383562,VS-5584
AURKA,inhibitor,0.29665351,TTP-607
MAP2K2,inhibitor,0.716013699,TAK-733
AURKC,inhibitor,1.166837139,TTP-607
PIK3CA,inhibitor,0.030386384,WX-037
CHEK1,inhibitor,0.690890411,XL-844
ABL1,inhibitor,0.031479419,XL-228
PIK3CD,inhibitor,0.104181887,WX-037
CNR2,agonist,0.504881454,SAD448
ADORA2B,inhibitor,0.265190259,CVT-6883
DRD2,modulator,0.207540203,ORDOPIDINE
PTGDR2,inhibitor,5.527123288,MK-7246
PIK3CG,inhibitor,0.064624826,BUPARLISIB
PIK3CB,inhibitor,0.066676408,BUPARLISIB
PIK3CD,inhibitor,0.133352816,BUPARLISIB
KDR,inhibitor,0.049302978,LUCITANIB
FLT1,inhibitor,0.08334551,LUCITANIB
FGFR1,inhibitor,0.29443554,LUCITANIB
FLT3,inhibitor,0.605026664,CRENOLANIB
MAPK9,inhibitor,0.546954909,CC-401
MAPK8,inhibitor,0.686374787,CC-401
AKT2,inhibitor,0.277818366,AFURESERTIB
PIK3CD,inhibitor,0.238130028,ACALISIB
JAK3,inhibitor,1.141471114,DECERNOTINIB
GRM5,modulator,5.834185693,AZD2066
BDKRB2,inhibitor,4.37563927,ANATIBANT
OXTR,inhibitor,6.177373087,BARUSIBAN
ADRA1A,agonist,0.273477454,DABUZALGRON
NPY5R,inhibitor,7.501095891,S-237648
EDNRA,inhibitor,1.141471114,ENRASENTAN
TRPV1,inhibitor,1.280674908,SB-705498
SCN5A,blocker,0.298339041,AZD7009
SCNN1B,blocker,2.187819635,IDREVLORIDE
CHRNB2,agonist,1.458546423,TEBANICLINE TOSYLATE
PTGDR,inhibitor,2.625383562,VIDUPIPRANT
ABL1,inhibitor,0.116231702,SARACATINIB
SRC,inhibitor,0.29918901,SARACATINIB
PRKCD,inhibitor,0.045579576,MIDOSTAURIN
ADORA2A,agonist,0.709563125,APADENOSON
EDNRB,inhibitor,1.250182648,DARUSENTAN
FOLR1,inhibitor,8.751278539,FARLETUZUMAB
BSG,other/unknown,13.12691781,GAVILIMOMAB
CD3E,inhibitor,0.583418569,VISILIZUMAB
TNF,inhibitor,0.564598615,AFELIMOMAB
CACNG7,modulator,0.224391757,IMAGABALIN
CACNG6,modulator,0.224391757,IMAGABALIN
CACNA1D,modulator,0.046965717,IMAGABALIN
GABRA1,agonist,0.05309168,GABOXADOL
CACNA1C,modulator,0.042968634,IMAGABALIN
GABRB3,agonist,0.056368944,GABOXADOL
SCN9A,blocker,0.056826484,TETRACAINE
SCN2A,blocker,0.075768645,TETRACAINE
KCNQ2,blocker,0.131269178,TEDISAMIL
SCN11A,blocker,0.07699072,TETRACAINE
KCNG3,blocker,0.218781963,TEDISAMIL
KCNS3,blocker,0.218781963,TEDISAMIL
KCNV2,blocker,0.218781963,TEDISAMIL
KDR,agonist,0.184886166,TELBERMIN
KCNB1,blocker,0.218781963,TEDISAMIL
KCNV1,blocker,0.218781963,TEDISAMIL
SCN10A,blocker,0.062808219,ESLICARBAZEPINE
TUBB2B,modulator,0.042689164,SAGOPILONE
TUBA3C,modulator,0.042689164,SAGOPILONE
TUBA3E,modulator,0.042689164,SAGOPILONE
PLA2G2A,inhibitor,2.917092846,VARESPLADIB METHYL
TUBA1A,modulator,0.042174836,SAGOPILONE
TUBB4A,modulator,0.042689164,SAGOPILONE
TUBA1C,modulator,0.042689164,SAGOPILONE
CD4,inhibitor,3.281729452,IBALIZUMAB
GRIA1,inhibitor,0.423448962,ZONAMPANEL
IL9,inhibitor,17.50255708,ENOKIZUMAB
LTA,inhibitor,6.563458904,BAMINERCEPT ALFA
ITGB3,inhibitor,1.750255708,TADOCIZUMAB
ERVK-20,inhibitor,5.250767124,PRO-542
CD40LG,inhibitor,3.621218706,DAPIROLIZUMAB PEGOL
TRPA1,inhibitor,2.187819635,BUTAMBEN PICRATE
GABRA3,positive modulator,0.079557078,FLUNITRAZEPAM
GABRG2,positive modulator,0.028413242,FLUNITRAZEPAM
GABRG1,positive modulator,0.091796628,FLUNITRAZEPAM
ADRA2C,inhibitor,0.105649238,MOXISYLYTE
CCKBR,inhibitor,0.596678082,PROGLUMIDE
CNR1,inhibitor,1.750255708,RIMONABANT
SLC6A2,inhibitor,0.24536295,PYROVALERONE HYDROCHLORIDE
GABRG1,positive modulator,0.042073455,TETRAZEPAM
GABRA5,positive modulator,0.03729238,TETRAZEPAM
GABRA2,positive modulator,0.036062961,TETRAZEPAM
CD3E,inhibitor,1.458546423,HOKT3
EGFR,inhibitor,0.138909183,IMGATUZUMAB
TXNRD1,inhibitor,2.500365297,MOTEXAFIN GADOLINIUM
CD79B,binder,1.381780822,POLATUZUMAB VEDOTIN
PTGS1,inhibitor,0.164086473,DEXKETOPROFEN
ACHE,inhibitor,0.085796848,MINAPRINE HYDROCHLORIDE
PRDX1,inhibitor,8.751278539,AVP-21D9
CCR2,inhibitor,4.565884455,PLOZALIZUMAB
NOTCH1,inhibitor,19.69037671,BRONTICTUZUMAB
TPBG,modulator,10.50153425,NACOLOMAB TAFENATOX
RPS9,inhibitor,0.131269178,DORLIMOMAB ARITOX
CYP2D6,NULL,0.006811217,AMIODARONE HYDROCHLORIDE
RPS6,inhibitor,0.109390982,DORLIMOMAB ARITOX
RPL8,inhibitor,0.131269178,DORLIMOMAB ARITOX
RPS28,inhibitor,0.131269178,DORLIMOMAB ARITOX
RPL34,inhibitor,0.131269178,DORLIMOMAB ARITOX
CCL18,inhibitor,1.810609353,DELAFLOXACIN MEGLUMINE
PLK3,NULL,0.043756393,LINIFANIB
RPL30,inhibitor,0.131269178,DORLIMOMAB ARITOX
RPL37A,inhibitor,0.131269178,DORLIMOMAB ARITOX
CLK2,NULL,0.020257589,PF-562271
KCNQ5,blocker,0.069454592,AMIFAMPRIDINE
FLT4,inhibitor,0.25003653,GLESATINIB
KCNQ3,blocker,0.089298761,AMIFAMPRIDINE
KCNH7,blocker,0.208363775,AMIFAMPRIDINE
KCND1,blocker,0.208363775,AMIFAMPRIDINE
KCNA6,blocker,0.208363775,AMIFAMPRIDINE
KCNH3,blocker,0.208363775,AMIFAMPRIDINE
KCNC1,blocker,0.208363775,AMIFAMPRIDINE
NTRK3,agonist,0.305277158,CENEGERMIN-BKBJ
TAAR1,NULL,0.905304676,CHEMBL:CHEMBL590666
CD19,binder,1.921012362,TISAGENLECLEUCEL
ADRA2A,agonist,0.03591496,EPHEDRINE
PDE4B,inhibitor,0.291709285,DROTAVERIN
ADRB3,agonist,0.088248187,EPHEDRINE
ADRB1,agonist,0.035098711,EPHEDRINE
RPS11,inhibitor,0.110542466,CYCLOHEXIMIDE
MAPT,NULL,0.029766254,CHEMBL:CHEMBL274921
RPL9P8,inhibitor,0.110542466,CYCLOHEXIMIDE
RPL27,inhibitor,0.110542466,CYCLOHEXIMIDE
RPS21,inhibitor,0.110542466,CYCLOHEXIMIDE
POLB,NULL,0.058019526,CHEMBL:CHEMBL598477
RPL18A,inhibitor,0.110542466,CYCLOHEXIMIDE
RPL26,inhibitor,0.110542466,CYCLOHEXIMIDE
RPL8,inhibitor,0.110542466,CYCLOHEXIMIDE
CYP3A4,NULL,0.003454907,THIAMYLAL SODIUM
RPL28,inhibitor,0.110542466,CYCLOHEXIMIDE
EHMT2,NULL,0.003604068,HYDROQUINONE
CETP,inhibitor,4.039051634,ROCACETRAPIB
RAPGEF4,NULL,0.291709285,AMORFRUTIN A
CACNA1F,blocker,0.25003653,LERCANIDIPINE HYDROCHLORIDE
KDM4A,NULL,0.059532507,MALEIC ACID
OPRM1,inhibitor,0.481721754,CP-866087
ERVW-4,inhibitor,0.954684932,CAPRAVIRINE
CACNA1H,blocker,2.442217267,ABT-639
APP,modulator,2.42343098,TRAMIPROSATE
IL2RA,binder,1.029562181,CAMIDANLUMAB TESIRINE
KLRC1,inhibitor,105.0153425,MONALIZUMAB
CYP2C9,NULL,0.012154554,CP55940
GUCY1A2,activator,0.729273212,VERICIGUAT
PDE4A,inhibitor,0.298339041,LOTAMILAST
PDE4B,inhibitor,0.291709285,TRANIMILAST
PDE4D,inhibitor,0.312545662,TRANIMILAST
PDE4A,inhibitor,0.596678082,TOFIMILAST
RPS9,modulator,0.128067491,ATALUREN
RPS7,modulator,0.128067491,ATALUREN
RPL21,modulator,0.128067491,ATALUREN
ESR1,NULL,0.01635753,CHLORANIL
RPS20,modulator,0.128067491,ATALUREN
RPL9P8,modulator,0.128067491,ATALUREN
CYP2D6,NULL,0.012649403,PSORA-4
RPL6,modulator,0.128067491,ATALUREN
RPL4,modulator,0.128067491,ATALUREN
ESR1,NULL,0.005007407,RESVERATROL
RPL27A,modulator,0.128067491,ATALUREN
RPL35,modulator,0.128067491,ATALUREN
TLR2,NULL,7.501095891,CHEMBL:CHEMBL1836411
APP,negative modulator,0.807810327,DONANEMAB
TUBA3E,inhibitor,0.040021091,DOLASTATIN-10
ERVW-4,inhibitor,0.954684932,S-1360
GHSR,agonist,2.917092846,CAPROMORELIN
JAK3,inhibitor,0.228294223,GUSACITINIB
GRM4,positive modulator,7.501095891,FOLIGLURAX
CTSC,inhibitor,7.501095891,BRENSOCATIB
CNR2,agonist,2.019525817,S-777469
NOS2,inhibitor,0.473042083,TILARGININE ACETATE
NOS1,inhibitor,0.246514888,TILARGININE ACETATE
KIF11,inhibitor,13.12691781,ISPINESIB
TUBB3,negative modulator,0.040021091,AGS-16C3F
ADRB2,agonist,0.542714948,PROCATEROL
TUBA1B,negative modulator,0.040021091,AGS-16C3F
PARP2,inhibitor,0.625091324,PAMIPARIB
TUBA3E,negative modulator,0.040021091,AGS-16C3F
TUBB2B,negative modulator,0.040021091,AGS-16C3F
TUBA4A,negative modulator,0.040021091,AGS-16C3F
PIM3,NULL,0.075333818,BAY 61-3606
